Track,Artist,Release Date,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,liveness,track_genre,explicit,popularity,year
"break up with your girlfriend, i'm bored",Ariana Grande,2/8/2019,975281654.0,69.0,"672,090,558","218,317,192",0.726,0.554,0.335,169.999,-5.29,0.0421,0.0917,0.0,0.106,dance,True,78,2019
Shaky Shaky,Daddy Yankee,4/8/2016,355833360.0,57.0,"1,841,152,614","580,818,135",0.899,0.626,0.873,88.007,-4.228,0.076,0.292,0.0,0.0631,hip-hop,False,0,2016
El Amante,Nicky Jam,1/1/2017,583299836.0,64.0,"1,463,687,327","107,045,562",0.683,0.691,0.732,179.91,-5.535,0.243,0.0432,0.0,0.14,latino,False,69,2017
Way down We Go,KALEO,8/7/2015,1086861259.0,79.0,"836,662,907","4,201,171,109",0.489,0.505,0.337,163.255,-8.022,0.579,0.117,0.000333,0.104,alt-rock,False,78,2015
PILLOWTALK,ZAYN,3/25/2016,1320205697.0,71.0,"1,389,678,876","191,249,307",0.584,0.7,0.438,124.944,-4.275,0.117,0.0456,0.0,0.0939,dance,True,78,2016
Libaas,Kaka,11/19/2020,76630812.0,51.0,"964,253,382","99,450,429",0.794,0.753,0.906,159.965,-3.112,0.543,0.0609,0.0,0.12,pop,False,65,2020
Un Coco,Bad Bunny,5/6/2022,534736940.0,73.0,"243,635,144","327,984,369",0.839,0.69,0.744,151.991,-4.464,0.207,0.0615,8.33e-06,0.176,latino,False,87,2022
Love You So,The King Khan & BBQ Show,1/1/2005,16326628.0,44.0,"7,603,329","214,843,956,590",0.398,0.909,0.644,115.162,-2.493,0.714,0.0593,0.000553,0.286,blues,False,58,2005
ON,BTS,2/21/2020,452491920.0,64.0,"945,639,729","359,662,248",0.583,0.817,0.437,105.935,-5.146,0.118,0.099,0.0,0.338,k-pop,False,74,2020
Don't Call Me Up,Mabel,1/18/2019,1016283394.0,68.0,"460,509,010","45,585,575",0.674,0.881,0.234,98.994,-2.853,0.296,0.147,3.01e-06,0.0793,edm,False,77,2019
YuNg BrAtZ,XXXTENTACION,5/16/2017,442472374.0,68.0,"99,029,913","437,018,233",0.755,0.695,0.493,128.063,-5.963,0.0179,0.26,0.0,0.107,emo,True,76,2017
The Search,NF,5/30/2019,582823215.0,69.0,"362,990,075","394,839,659",0.789,0.786,0.39,119.957,-4.788,0.596,0.297,0.0,0.0997,hip-hop,False,74,2019
Ay Vamos,J Balvin,3/3/2014,385438228.0,68.0,"2,103,164,374","55,635,484",0.718,0.711,0.92,173.916,-5.746,0.157,0.11,5.54e-05,0.1,latino,False,69,2014
A-O-K,Tai Verdes,5/6/2021,389915082.0,66.0,"12,456,282","3,623,326,028",0.731,0.626,0.862,82.488,-6.919,0.125,0.0805,0.0,0.183,indie-pop,True,77,2021
Shotgun,George Ezra,3/23/2018,930662973.0,71.0,"473,069,489","114,370,699",0.673,0.735,0.754,115.744,-4.733,0.286,0.0457,0.0,0.242,folk,False,78,2018
Kiss Me,Dermot Kennedy,9/2/2022,149237160.0,65.0,"60,539,963","52,556,917",0.646,0.863,0.459,120.08,-2.046,0.00203,0.0367,0.0,0.0686,folk,False,68,2022
Goosebumps,HVME,6/12/2020,495274429.0,63.0,"78,671,735","354,473,655",0.767,0.659,0.439,124.946,-7.429,0.325,0.0444,0.0,0.13,house,True,75,2020
HP,Maluma,3/1/2019,614313540.0,64.0,"978,997,170","48,469,382",0.837,0.791,0.618,91.98,-3.157,0.252,0.0773,1.14e-06,0.188,latino,True,72,2019
I'm a Mess,Bebe Rexha,6/15/2018,671869078.0,65.0,"686,180,183","184,425,042",0.63,0.694,0.216,97.005,-6.257,0.00281,0.0253,0.0,0.0719,dance,False,74,2018
Un Ratito,Bad Bunny,5/6/2022,500671737.0,70.0,"204,437,602","66,367,676",0.787,0.546,0.222,93.05,-7.094,0.305,0.0532,4.55e-05,0.122,latino,False,87,2022
FAKE LOVE,BTS,8/24/2018,800203170.0,57.0,"1,349,952,981",,0.557,0.719,0.345,77.502,-4.515,0.00267,0.0371,0.0,0.306,k-pop,False,76,2018
The Sound Of Silence,Disturbed,1/1/2015,777947820.0,70.0,"1,442,138,188","297,856,843",0.322,0.28,0.175,85.794,-9.367,0.468,0.0281,1.1e-06,0.102,alternative,False,41,2015
Higher Power,Coldplay,5/7/2021,349603788.0,63.0,"137,534,459","343,629,235",0.507,0.828,0.489,178.032,-6.023,0.00711,0.0449,2.44e-05,0.261,pop,False,0,2021
Prohibidox,Feid,9/14/2022,289624210.0,70.0,"201,168,669","298,398,790",0.647,0.801,0.517,180.108,-2.946,0.0451,0.249,0.0,0.0628,latin,False,7,2022
Joga o Bum Bum Tam Tam,MC Fioti,6/14/2017,191584138.0,34.0,"1,924,788,325",,0.932,0.485,0.43,131.959,-8.926,0.609,0.0965,0.0295,0.141,funk,True,61,2017
soso,Omah Lay,6/24/2022,167668390.0,71.0,"185,746,447","984,682,218",0.711,0.725,0.53,105.016,-8.315,0.424,0.0941,0.129,0.11,dancehall,False,63,2022
You Say,Lauren Daigle,7/13/2018,542480898.0,68.0,"435,065,136","401,544,074",0.494,0.632,0.0797,147.873,-6.89,0.682,0.0342,0.0,0.0869,alt-rock,False,75,2018
BOOMBAYAH,BLACKPINK,8/8/2016,534374502.0,68.0,"1,785,015,062","368,912,538",0.661,0.836,0.396,124.952,-3.164,0.00268,0.059,0.0,0.497,k-pop,False,77,2016
Last Friday Night (T.G.I.F.),Katy Perry,1/1/2010,1144535829.0,71.0,"1,604,084,148","592,235,618",0.65,0.817,0.728,126.024,-3.826,0.00124,0.0441,1.14e-05,0.658,dance,False,0,2010
295,Sidhu Moose Wala,5/15/2021,267897492.0,68.0,"677,472,355","98,802,368",0.557,0.794,0.432,91.366,-5.698,0.179,0.2,0.0,0.106,hip-hop,False,78,2021
I'm Yours,Jason Mraz,1/1/2008,1878098512.0,72.0,"359,866,287","175,364,993",0.703,0.444,0.712,150.96,-9.331,0.559,0.0417,0.0,0.0973,acoustic,False,80,2008
Wrecked,Imagine Dragons,7/2/2021,309587427.0,64.0,"199,356,851","34,312,597",0.625,0.562,0.229,93.998,-5.828,0.149,0.0289,1.67e-05,0.109,rock,False,2,2021
MANIAC,Stray Kids,3/18/2022,293724552.0,68.0,"343,273,995","866,409,009",0.581,0.8,0.709,119.872,-2.613,0.154,0.411,0.0,0.0697,k-pop,False,80,2022
After LIKE,IVE,8/22/2022,365203093.0,69.0,"281,724,902","49,211,096",0.68,0.922,0.799,125.014,-1.215,0.103,0.121,0.0,0.0877,k-pop,False,88,2022
idontwannabeyouanymore,Billie Eilish,7/21/2017,1091185920.0,72.0,"522,422,864","372,214,292",0.483,0.412,0.247,170.163,-8.461,0.737,0.0402,0.0,0.116,electro,False,81,2017
World's Smallest Violin,AJR,1/1/2021,343227483.0,63.0,"239,480,315","6,292,383,402",0.68,0.697,0.684,116.033,-7.01,0.121,0.0484,0.0,0.661,rock,True,80,2021
Night Changes,One Direction,11/17/2014,1548151634.0,83.0,"948,760,574","1,820,024,186",0.672,0.52,0.37,120.001,-7.747,0.859,0.0353,0.0,0.115,pop,False,88,2014
Still Don't Know My Name,Labrinth,10/4/2019,666107710.0,71.0,"234,005,957","5,185,694,852",0.316,0.63,0.313,89.643,-5.963,0.471,0.117,0.262,0.205,indie-pop,False,80,2019
In Case You Didn't Know,Brett Young,1/1/2016,560774282.0,68.0,"861,165,099","216,533,242",0.607,0.536,0.434,147.986,-7.306,0.386,0.0305,0.0,0.102,country,False,75,2016
I CAN'T STOP ME,TWICE,10/26/2020,384886220.0,65.0,"681,682,229","666,762,692",0.657,0.88,0.769,150.084,-3.672,0.121,0.102,0.0,0.463,k-pop,False,76,2020
Vivir Mi Vida,Marc Anthony,7/23/2013,618671056.0,71.0,"1,398,550,208","302,300,755",0.656,0.877,0.894,105.018,-3.231,0.345,0.0342,0.0,0.349,salsa,False,76,2013
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,10/29/2002,2194935773.0,75.0,"1,360,758,976","20,114,190",0.686,0.735,0.0596,171.355,-4.616,0.00921,0.264,0.00066,0.342,hip-hop,True,79,2002
willow,Taylor Swift,12/10/2020,844790027.0,72.0,"189,534,686","212,587,391",0.392,0.579,0.549,80.961,-9.195,0.835,0.164,0.00179,0.145,pop,False,0,2020
Send My Love (To Your New Lover),Adele,11/20/2015,1064599051.0,66.0,"997,993,764","261,382,201",0.688,0.533,0.567,164.069,-8.363,0.0355,0.0865,3.48e-06,0.172,british,False,72,2015
One Last Time,Ariana Grande,8/21/2014,1465918510.0,77.0,"1,101,895,606","285,511,671",0.628,0.593,0.104,125.026,-5.036,0.093,0.0323,1.65e-06,0.096,dance,False,83,2014
Dos Mil 16,Bad Bunny,5/6/2022,426904285.0,71.0,"198,252,709","679,567,159",0.817,0.67,0.495,130.058,-6.534,0.123,0.0506,1.92e-06,0.128,latino,False,87,2022
Bad At Love,Halsey,6/2/2017,635393773.0,59.0,"575,220,523","84,632,348",0.675,0.751,0.612,118.384,-3.539,0.0604,0.0296,0.0,0.0893,electro,False,74,2017
The Adults Are Talking,The Strokes,4/10/2020,457933102.0,76.0,"161,335,622","521,061,584",0.593,0.749,0.649,164.959,-5.67,0.0113,0.0475,0.106,0.314,alt-rock,False,79,2020
Emotionally Scarred,Lil Baby,2/28/2020,289652584.0,63.0,"310,518,713","40,742,074",0.585,0.641,0.266,88.284,-4.269,0.0286,0.133,0.0,0.316,hip-hop,True,2,2020
Burn,Ellie Goulding,1/1/2012,784334383.0,68.0,"1,776,560,692","112,921,980",0.559,0.777,0.329,87.016,-5.031,0.31,0.0432,0.0,0.105,edm,False,71,2012
When We Were Young,Adele,11/20/2015,1284096603.0,71.0,"1,021,758,621","348,333,229",0.376,0.595,0.265,144.361,-5.936,0.303,0.0496,0.0,0.095,british,False,79,2015
Safe And Sound,Capital Cities,1/1/2012,1286089822.0,78.0,"291,434,533","774,957,680",0.655,0.819,0.766,117.956,-4.852,0.000176,0.0316,0.00374,0.104,rock,False,83,2012
Teeth,5 Seconds of Summer,8/21/2019,683247723.0,71.0,"322,965,834","561,046,941",0.756,0.448,0.431,139.031,-2.993,0.0508,0.0404,3.87e-06,0.11,dance,False,79,2019
FEARLESS,LE SSERAFIM,5/2/2022,312942305.0,62.0,"386,459,691","1,245,609,565",0.863,0.62,0.432,103.971,-7.167,0.0508,0.135,0.00324,0.129,k-pop,False,83,2022
Where It Ends,Bailey Zimmerman,8/19/2022,178441881.0,75.0,"24,354,425","161,742,703",0.431,0.837,0.648,170.041,-5.067,0.259,0.0432,0.0,0.0879,country,False,1,2022
Soap,Melanie Martinez,7/10/2015,349538935.0,67.0,"147,735,161","2,568,929,437",0.594,0.689,0.209,168.112,-6.107,0.259,0.148,5.49e-06,0.129,electro,False,0,2015
Tyler Herro,Jack Harlow,10/22/2020,555631717.0,66.0,"124,710,525","148,481,502",0.792,0.793,0.775,123.031,-6.185,0.0872,0.0841,0.0,0.22,k-pop,True,74,2020
Ophelia,The Lumineers,2/5/2016,1274848626.0,70.0,"267,224,710","234,589,315",0.664,0.573,0.566,76.023,-6.519,0.613,0.0277,0.000363,0.0857,folk,False,79,2016
you should see me in a crown,Billie Eilish,7/18/2018,860596912.0,71.0,"520,754,022","397,345,798",0.683,0.534,0.284,150.469,-10.348,0.519,0.189,0.247,0.148,electro,False,0,2018
Dandelions,Ruth B.,4/28/2017,1561518107.0,82.0,"96,339,252","7,603,775,552",0.609,0.692,0.454,116.959,-2.958,0.0157,0.0259,0.0,0.0864,pop,False,90,2017
I Love You So,The Walters,11/28/2014,1410353130.0,83.0,"417,265,571","3,241,952,947",0.575,0.648,0.466,75.977,-4.891,0.583,0.0358,0.0,0.115,indie,False,89,2014
comethru,Jeremy Zucker,9/7/2018,822935346.0,69.0,"659,693,784","581,871,422",0.795,0.178,0.608,93.982,-11.991,0.607,0.0574,0.0,0.623,electro,False,79,2018
Little Dark Age,MGMT,10/17/2017,641453269.0,72.0,"409,991,163","2,500,579,993",0.705,0.712,0.62,97.512,-6.156,0.0102,0.0385,0.000855,0.1,alt-rock,False,83,2017
ELEVEN,IVE,12/1/2021,306760464.0,66.0,"458,931,624","1,292,286,614",0.828,0.731,0.587,119.978,-3.033,0.0617,0.111,0.0,0.048,k-pop,False,79,2021
Hasta el Amanecer,Nicky Jam,1/15/2016,560103803.0,,"1,596,092,291",,0.832,0.608,0.589,94.013,-6.042,0.282,0.0385,0.0,0.0761,latino,False,71,2016
I'm Not The Only One,Sam Smith,1/1/2014,1879966374.0,77.0,"464,847,219","417,275,446",0.684,0.487,0.456,81.997,-5.887,0.495,0.0367,4.57e-06,0.0821,dance,False,1,2014
Chlorine,Twenty One Pilots,10/5/2018,517990518.0,68.0,"721,254,947","67,549,016",0.609,0.674,0.315,90.009,-7.388,0.0735,0.0548,0.06,0.345,rock,False,76,2018
Tennessee Orange,Megan Moroney,9/2/2022,227893586.0,73.0,"30,913,276","117,505,652",0.38,0.488,0.268,156.031,-6.637,0.126,0.029,7.23e-06,0.115,country,False,78,2022
Issues,Julia Michaels,1/13/2017,1214862854.0,69.0,"333,612,581","142,981,272",0.722,0.417,0.451,113.965,-6.825,0.39,0.0618,0.0,0.0612,electro,False,0,2017
Dancing With Your Ghost,Sasha Alex Sloan,6/28/2019,573785235.0,71.0,"67,117,513","1,230,812,968",0.629,0.328,0.389,74.953,-8.284,0.768,0.029,2.5e-05,0.103,electro,False,80,2019
Zaroori Tha,Rahat Fateh Ali Khan,12/31/2017,,,"1,651,471,016",,0.523,0.674,0.239,114.058,-4.832,0.771,0.0328,0.0,0.139,pop-film,False,65,2017
Runaway (U & I),Galantis,10/5/2014,895051532.0,72.0,"619,712,411","730,346,946",0.506,0.805,0.383,126.008,-4.119,0.00711,0.0469,0.00193,0.0856,edm,False,75,2014
Numb,Linkin Park,3/24/2003,1720830668.0,80.0,"2,450,982,330","490,782,499",0.496,0.863,0.243,110.018,-4.153,0.0046,0.0381,0.0,0.639,alternative,False,83,2003
Wagon Wheel,Darius Rucker,1/1/2013,727417273.0,73.0,"563,826,762","101,847,028",0.535,0.661,0.596,148.121,-7.139,0.46,0.0304,0.0,0.142,country,False,1,2013
Out of Time,The Weeknd,2/5/2021,451878749.0,70.0,"221,123,432","233,301,151",0.629,0.763,0.809,93.023,-4.279,0.244,0.0453,0.0,0.312,pop,False,5,2021
About You,The 1975,10/14/2022,350348521.0,75.0,"63,111,604","793,536,731",0.416,0.762,0.461,95.967,-7.385,0.312,0.0279,0.804,0.0559,alt-rock,False,73,2022
Here's Your Perfect,Jamie Miller,4/30/2021,418998816.0,69.0,"349,432,726","1,962,424,177",0.558,0.454,0.424,113.12,-5.335,0.499,0.0551,0.0,0.146,soul,False,78,2021
Lovefool,twocolors,5/8/2020,359757970.0,62.0,"216,865,947","658,030,330",0.677,0.766,0.198,123.062,-6.896,0.0219,0.0568,6.81e-06,0.129,edm,False,72,2020
Never Going Home,Kungs,4/28/2021,304069347.0,63.0,"87,407,927","94,926,621",0.839,0.842,0.96,122.028,-4.703,0.0868,0.0392,0.0981,0.0548,house,False,0,2021
Waiting for the End,Linkin Park,4/12/2024,160127218.0,,,,0.487,0.961,0.323,170.005,-4.139,0.0415,0.132,1.15e-06,0.553,alternative,False,42,2024
Daisy,Ashnikko,7/9/2020,509353753.0,63.0,"231,541,575","842,856,226",0.834,0.663,0.774,121.876,-6.143,0.235,0.133,0.0,0.372,electro,True,71,2020
Stolen Dance,Milky Chance,1/1/2013,1460945792.0,76.0,"224,150,562","2,134,365,963",0.884,0.581,0.728,114.016,-8.813,0.427,0.0378,0.000206,0.0759,german,False,80,2013
Snowman,Sia,11/9/2017,947770190.0,69.0,"417,814,325","5,479,108,705",0.716,0.511,0.324,104.964,-6.257,0.483,0.0332,0.0,0.0928,dance,False,3,2017
Heaven,Kane Brown,10/6/2017,492361216.0,66.0,"697,287,853","74,609,105",0.677,0.556,0.521,80.006,-6.544,0.263,0.0306,0.0,0.105,country,False,73,2017
Kaikai Kitan,Eve,10/3/2020,404765225.0,68.0,"470,390,576","561,999,669",0.584,0.911,0.606,92.502,-3.515,0.0119,0.09,0.0,0.119,anime,False,75,2020
Mary On A Cross,Ghost,9/13/2019,589145587.0,71.0,"235,289,339","569,986,027",0.466,0.9,0.561,130.02,-4.469,0.000235,0.0447,0.00104,0.103,hard-rock,False,88,2019
Go Fuck Yourself,Two Feet,7/29/2016,649191183.0,68.0,"645,296,970","1,557,145,950",0.765,0.327,0.292,74.931,-8.029,0.571,0.277,0.0479,0.0787,indie-pop,True,77,2016
Summertime Sadness,Lana Del Rey,1/1/2011,1442872605.0,79.0,"572,303,765","1,549,975,311",0.559,0.674,0.197,111.976,-6.125,0.0312,0.0329,0.0,0.121,pop,False,0,2011
Acapulco,Jason Derulo,9/3/2021,442260324.0,65.0,"83,588,626","310,298,540",0.774,0.792,0.507,122.062,-4.021,0.051,0.0523,0.0,0.155,dance,False,0,2021
Daddy Issues,The Neighbourhood,10/30/2015,1435372572.0,80.0,"450,121,249","1,122,697,302",0.588,0.521,0.337,85.012,-9.461,0.0678,0.0329,0.149,0.123,alt-rock,False,87,2015
Tu Aake Dekhle,King,9/21/2020,410639967.0,69.0,"619,113,386","61,728,216",0.77,0.84,0.192,96.012,-4.022,0.515,0.107,0.00452,0.145,hip-hop,False,81,2020
Pink + White,Frank Ocean,8/20/2016,1299650856.0,83.0,"158,016,588","442,090,971",0.545,0.545,0.549,159.94,-7.362,0.667,0.107,5.48e-05,0.417,soul,False,85,2016
Space Song,Beach House,8/21/2015,1099069598.0,73.0,"127,534,602","2,588,157,478",0.509,0.79,0.625,147.073,-7.105,0.218,0.0293,0.125,0.144,indie-pop,False,73,2015
Rude,MAGIC!,7/23/2013,,,"2,541,095,833",,0.773,0.758,0.925,144.033,-4.993,0.0422,0.0381,0.0,0.305,reggae,False,81,2013
My Way,Calvin Harris,9/16/2016,1014534913.0,73.0,"615,907,345","56,011,096",0.818,0.913,0.536,119.986,-3.06,0.093,0.0426,3.69e-05,0.161,electro,False,76,2016
Fight Song,Rachel Platten,12/2/2014,897794289.0,69.0,"101,998,780","1,021,462,418",0.564,0.714,0.33,175.924,-4.987,0.0549,0.129,0.0,0.155,rock,False,77,2014
Losing It,FISHER,7/13/2018,523954769.0,67.0,"96,992,359","313,069,043",0.76,0.964,0.643,125.003,-5.844,0.00181,0.0577,0.703,0.0975,house,False,75,2018
Hey Brother,Avicii,1/1/2013,1007623089.0,72.0,"936,816,983","160,676,196",0.545,0.78,0.458,125.014,-4.867,0.0309,0.0436,4.64e-05,0.0828,edm,False,77,2013
Yet To Come,BTS,6/10/2022,344744597.0,64.0,"264,915,434","973,086,190",0.559,0.885,0.683,172.029,-4.515,0.0432,0.189,0.0,0.333,k-pop,False,85,2022
YKWIM?,Yot Club,5/31/2019,675984633.0,75.0,"118,564,792","882,048,158",0.372,0.537,0.228,123.735,-7.623,0.937,0.0305,0.873,0.287,indie-pop,False,84,2019
Bellyache,Billie Eilish,2/24/2017,965899534.0,73.0,"834,705,559","287,094,813",0.695,0.573,0.408,99.939,-8.597,0.46,0.106,0.0734,0.482,electro,False,79,2017
Wait a Minute!,WILLOW,1/11/2015,1081039358.0,73.0,"422,709,495","2,051,079,047",0.764,0.705,0.672,101.003,-5.279,0.0371,0.0278,1.94e-05,0.0943,pop,False,69,2015
Ojos Marrones,Lasso,6/3/2022,370988405.0,68.0,"69,184,223","1,614,554,007",0.804,0.642,0.687,119.996,-4.418,0.0442,0.0431,0.0,0.197,latin,False,0,2022
Typa Girl,BLACKPINK,9/16/2022,357054107.0,66.0,"199,710,937","790,229,870",0.918,0.585,0.519,131.966,-7.781,0.0627,0.0889,0.0,0.624,k-pop,True,82,2022
Next Level,aespa,5/17/2021,245384123.0,68.0,"514,192,282","693,149,332",0.82,0.852,0.82,109.036,-2.567,0.488,0.166,5.94e-06,0.0907,k-pop,False,74,2021
Whiskey Glasses,Morgan Wallen,7/29/2016,806728296.0,75.0,"429,423,484","74,890,093",0.614,0.68,0.707,149.959,-4.58,0.369,0.0289,1.84e-06,0.115,country,False,81,2016
Mercy,Shawn Mendes,8/18/2016,1351515181.0,74.0,"602,907,962","169,125,285",0.555,0.662,0.356,148.128,-4.952,0.125,0.0827,0.0,0.111,dance,False,82,2016
Mount Everest,Labrinth,6/21/2019,612159812.0,72.0,"218,832,200","3,490,816,416",0.494,0.428,0.44,87.724,-7.239,0.236,0.205,0.0698,0.0816,indie-pop,True,83,2019
Wildest Dreams,Taylor Swift,1/1/2014,964058806.0,70.0,"930,982,185","1,025,978,293",0.553,0.664,0.467,140.06,-7.417,0.0709,0.0741,0.0056,0.106,pop,False,80,2014
Rolling in the Deep - Acapella,Adele,1/16/2011,11170019.0,36.0,"2,522,903,197",,0.736,0.142,0.476,105.034,-16.603,0.771,0.0385,0.0,0.0735,british,False,49,2011
In My Head,Lil Tjay,4/1/2022,237061046.0,63.0,"47,378,172","3,442,700",0.684,0.545,0.407,143.049,-6.885,0.159,0.121,0.0,0.102,r-n-b,True,79,2022
River,Bishop Briggs,1/22/2016,547304707.0,68.0,"566,895,107","4,144,883,692",0.726,0.484,0.561,62.492,-6.708,0.274,0.0477,2.42e-06,0.0874,alt-rock,False,0,2016
Dil Diyan Gallan,Atif Aslam,12/12/2017,204127666.0,65.0,"1,326,806,818","60,784,930",0.717,0.64,0.485,105.021,-8.726,0.565,0.025,0.00139,0.127,pop-film,False,64,2017
The Real Slim Shady,Eminem,1/1/2000,1798020679.0,81.0,"961,666,231","771,015,965",0.949,0.661,0.76,104.504,-4.244,0.0302,0.0572,0.0,0.0454,hip-hop,True,87,2000
I Gotta Feeling,Black Eyed Peas,1/1/2009,1423655688.0,76.0,"190,741,649","680,999,560",0.746,0.793,0.656,127.973,-5.725,0.0519,0.0265,0.0,0.421,dance,False,1,2009
WANNABE,ITZY,3/9/2020,365845397.0,66.0,"731,488,947","362,463,277",0.809,0.911,0.64,122.035,-4.41,0.00795,0.0617,0.000179,0.181,k-pop,False,74,2020
Your Power,Billie Eilish,4/29/2021,423439672.0,68.0,"170,437,339","347,631,092",0.632,0.284,0.208,129.642,-14.025,0.932,0.0801,0.000476,0.233,electro,False,77,2021
Baila Baila Baila,Ozuna,1/5/2019,563326343.0,64.0,"619,678,799","13,221,298",0.837,0.626,0.592,99.987,-5.674,0.0588,0.152,0.0,0.252,latino,False,70,2019
Psycho,Red Velvet,12/23/2019,471042668.0,66.0,"716,847,469","222,663,523",0.664,0.666,0.405,139.987,-2.203,0.193,0.0446,0.0,0.0854,k-pop,False,75,2019
A Tu Merced,Bad Bunny,2/29/2020,778269101.0,70.0,"357,643,934","287,886,349",0.86,0.791,0.887,92.023,-4.784,0.169,0.0568,0.000106,0.106,latino,False,83,2020
Stuck In The Middle,Tai Verdes,5/29/2020,143421888.0,54.0,"23,355,896","6,940,732,133",0.862,0.564,0.836,119.952,-6.566,0.278,0.0425,0.0,0.0935,indie-pop,True,66,2020
Just Pretend,Bad Omens,2/25/2022,209635991.0,71.0,"26,381,437","231,239,811",0.449,0.831,0.211,140.091,-4.668,0.00257,0.0835,0.00119,0.0998,metalcore,False,71,2022
Yo No Soy Celoso,Bad Bunny,5/6/2022,370800055.0,68.0,"130,681,979","123,346,772",0.872,0.588,0.93,142.004,-6.276,0.275,0.0492,0.0,0.17,latino,True,85,2022
Fire On Fire,Sam Smith,12/21/2018,697834321.0,70.0,"408,377,555","1,362,132,192",0.584,0.408,0.333,115.129,-7.356,0.476,0.0461,0.0,0.18,dance,False,78,2018
Drag Me Down,One Direction,7/31/2015,1125333823.0,76.0,"1,124,359,897","175,883,717",0.73,0.703,0.595,138.113,-5.672,0.109,0.0369,0.0,0.0657,pop,False,80,2015
the perfect pair,beabadoobee,7/15/2022,230129740.0,72.0,"34,590,747","369,833,975",0.634,0.663,0.6,146.053,-6.818,0.433,0.0331,0.124,0.102,indie-pop,False,77,2022
Sofia,Clairo,7/26/2019,728920951.0,74.0,"168,855,750","313,505,897",0.744,0.619,0.641,112.997,-9.805,0.598,0.039,0.00372,0.231,indie-pop,False,81,2019
Revenge,XXXTENTACION,5/18/2017,1356969354.0,53.0,"74,514,608",,0.746,0.251,0.18,139.999,-16.169,0.782,0.259,0.00203,0.106,emo,True,87,2017
Rojo,J Balvin,2/27/2020,606603985.0,68.0,"411,037,239","118,448,922",0.652,0.595,0.421,172.277,-4.04,0.15,0.117,0.000106,0.0836,latin,False,5,2020
Midnight City,M83,1/1/2011,1081517243.0,72.0,"82,397,805","1,010,922,723",0.507,0.729,0.272,105.013,-5.399,0.0182,0.0393,1.4e-06,0.0658,french,False,76,2011
Ginza,J Balvin,6/23/2015,521328627.0,70.0,"1,067,816,466","122,727,381",0.749,0.815,0.866,102.218,-6.381,0.228,0.083,0.00117,0.0838,latin,False,0,2015
Dancing in My Room,347aidan,10/26/2020,335188091.0,61.0,"122,687,107","3,434,097,182",0.98,0.413,0.764,119.993,-11.052,0.671,0.101,7.95e-05,0.17,sad,True,74,2020
Personal,HRVY,11/30/2017,314089265.0,58.0,"355,189,118","940,593,293",0.755,0.536,0.882,138.969,-5.605,0.114,0.12,0.0,0.0282,dance,False,70,2017
It's Plenty,Burna Boy,7/1/2022,134909945.0,62.0,"84,020,549","282,521,651",0.776,0.565,0.53,107.035,-10.609,0.36,0.105,8.81e-05,0.308,dancehall,True,75,2022
Why'd You Only Call Me When You're High?,Arctic Monkeys,1/1/2013,1687828519.0,80.0,"527,397,003","45,596,295",0.691,0.631,0.8,92.004,-6.478,0.0483,0.0368,1.13e-05,0.104,garage,False,88,2013
Never Be the Same,Camila Cabello,12/17/2017,862685616.0,71.0,"508,394,938","665,573,579",0.637,0.713,0.243,129.923,-4.333,0.181,0.0747,0.000637,0.137,dance,False,74,2017
If I Can't Have You,Shawn Mendes,5/25/2018,1015502663.0,67.0,"290,850,550","102,264,948",0.69,0.809,0.864,123.912,-4.198,0.524,0.0603,0.0,0.147,dance,False,0,2018
august,Taylor Swift,7/24/2020,1101296591.0,79.0,"143,962,401","779,402,493",0.532,0.623,0.403,89.937,-9.208,0.538,0.0331,7.28e-05,0.0925,pop,False,86,2020
FANCY,TWICE,4/22/2019,475639302.0,67.0,"816,491,835","423,648,556",0.697,0.874,0.775,132.018,-2.15,0.0122,0.0449,0.0,0.627,k-pop,False,76,2019
Take My Name,Parmalee,7/9/2021,120964748.0,61.0,"13,919,928","43,546,200",0.559,0.66,0.574,163.957,-4.143,0.222,0.0512,0.0,0.193,country,False,33,2021
Good Feeling,Flo Rida,1/1/2011,662305046.0,72.0,"722,325,299","139,200,114",0.706,0.89,0.685,128.012,-4.447,0.0588,0.0687,0.00288,0.305,dance,False,1,2011
Cool Kids,Echosmith,6/11/2013,570026061.0,66.0,"264,363,262","9,749,942,173",0.719,0.671,0.786,130.027,-6.279,0.0372,0.0336,8.21e-06,0.12,indie-pop,False,77,2013
Smells Like Teen Spirit,Nirvana,9/16/2015,87429.0,,"1,932,243,086",,0.502,0.912,0.72,116.761,-4.556,2.55e-05,0.0564,0.000173,0.106,alt-rock,False,83,2015
Antidote,Travis Scott,7/28/2015,693552475.0,68.0,"484,191,598","100,004,969",0.713,0.526,0.131,131.05,-5.046,0.00767,0.032,0.000148,0.124,house,True,74,2015
Tu Falta De Querer,Mon Laferte,8/21/2015,522954525.0,73.0,"1,362,091,486","155,253,912",0.394,0.473,0.45,129.996,-7.935,0.0247,0.0281,0.00684,0.112,alternative,False,0,2015
Truth Hurts,Lizzo,3/9/2016,990118320.0,65.0,"111,217,546","548,222,747",0.715,0.622,0.407,158.088,-3.046,0.11,0.111,0.0,0.123,hip-hop,True,1,2016
